STATISTIC,STATISTIC Label,TLIST(A1),Year,C03424V04122,Local Authority,C03122V03774,Type of Carriageway,UNIT,VALUE
NRA03,National Route Length,2015,2015,16,Limerick,5,Dual carriageway,Number,9
NRA03,National Route Length,2015,2015,17,Tipperary,-,All Carriage ways,Number,335
NRA03,National Route Length,2015,2015,17,Tipperary,1,Motorway,Number,122
NRA03,National Route Length,2015,2015,17,Tipperary,3,Single,Number,210
NRA03,National Route Length,2015,2015,17,Tipperary,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,17,Tipperary,5,Dual carriageway,Number,3
NRA03,National Route Length,2015,2015,18,Waterford,-,All Carriage ways,Number,107
NRA03,National Route Length,2015,2015,18,Waterford,1,Motorway,Number,0
NRA03,National Route Length,2015,2015,18,Waterford,3,Single,Number,97
NRA03,National Route Length,2015,2015,18,Waterford,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,18,Waterford,5,Dual carriageway,Number,10
NRA03,National Route Length,2015,2015,19,Galway,-,All Carriage ways,Number,454
NRA03,National Route Length,2015,2015,19,Galway,1,Motorway,Number,62
NRA03,National Route Length,2015,2015,19,Galway,3,Single,Number,380
NRA03,National Route Length,2015,2015,19,Galway,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,19,Galway,5,Dual carriageway,Number,12
NRA03,National Route Length,2015,2015,20,Leitrim,-,All Carriage ways,Number,56
NRA03,National Route Length,2015,2015,20,Leitrim,1,Motorway,Number,0
NRA03,National Route Length,2015,2015,20,Leitrim,3,Single,Number,49
NRA03,National Route Length,2015,2015,20,Leitrim,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,20,Leitrim,5,Dual carriageway,Number,7
NRA03,National Route Length,2015,2015,21,Mayo,-,All Carriage ways,Number,397
NRA03,National Route Length,2015,2015,21,Mayo,1,Motorway,Number,0
NRA03,National Route Length,2015,2015,21,Mayo,3,Single,Number,397
NRA03,National Route Length,2015,2015,21,Mayo,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,21,Mayo,5,Dual carriageway,Number,0
NRA03,National Route Length,2015,2015,22,Roscommon,-,All Carriage ways,Number,247
NRA03,National Route Length,2015,2015,22,Roscommon,1,Motorway,Number,21
NRA03,National Route Length,2015,2015,22,Roscommon,3,Single,Number,225
NRA03,National Route Length,2015,2015,22,Roscommon,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,22,Roscommon,5,Dual carriageway,Number,1
NRA03,National Route Length,2015,2015,23,Sligo,-,All Carriage ways,Number,153
NRA03,National Route Length,2015,2015,23,Sligo,1,Motorway,Number,0
NRA03,National Route Length,2015,2015,23,Sligo,3,Single,Number,141
NRA03,National Route Length,2015,2015,23,Sligo,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,23,Sligo,5,Dual carriageway,Number,13
NRA03,National Route Length,2015,2015,24,Cavan,-,All Carriage ways,Number,123
NRA03,National Route Length,2015,2015,24,Cavan,1,Motorway,Number,0
NRA03,National Route Length,2015,2015,24,Cavan,3,Single,Number,123
NRA03,National Route Length,2015,2015,24,Cavan,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,24,Cavan,5,Dual carriageway,Number,0
NRA03,National Route Length,2015,2015,25,Donegal,-,All Carriage ways,Number,304
NRA03,National Route Length,2015,2015,25,Donegal,1,Motorway,Number,0
NRA03,National Route Length,2015,2015,25,Donegal,3,Single,Number,298
NRA03,National Route Length,2015,2015,25,Donegal,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,25,Donegal,5,Dual carriageway,Number,6
NRA03,National Route Length,2015,2015,26,Monaghan,-,All Carriage ways,Number,104
NRA03,National Route Length,2015,2015,26,Monaghan,1,Motorway,Number,0
NRA03,National Route Length,2015,2015,26,Monaghan,3,Single,Number,88
NRA03,National Route Length,2015,2015,26,Monaghan,4,Two plus one,Number,
NRA03,National Route Length,2015,2015,26,Monaghan,5,Dual carriageway,Number,15
NRA03,National Route Length,2016,2016,-,All licensing authorities,-,All Carriage ways,Number,5306
NRA03,National Route Length,2016,2016,-,All licensing authorities,1,Motorway,Number,916
NRA03,National Route Length,2016,2016,-,All licensing authorities,3,Single,Number,4096
